ARK	title	subject	description	source	language	relation	coverage	creator	contributor	publisher	rights	date	type	format	identifier
ark:/12148/cb44431470v		Frères ? Ennemis ! : le livre noir de la franc-maçonnerie (Réédition enrichie) Pierre Benzaquen				fre ; français			Benzaquen, Pierre (1943-....). Auteur du texte		LiberFaber (Monaco)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2013	texte imprimé ; printed text ; text	24 cm	http://catalogue.bnf.fr/ark:/12148/cb44431470v
ark:/12148/cb455966705		Les hauts grades du rite maçonnique expliqués par l'image / Percy John Harvey				fre ; français			Harvey, Percy John. Auteur du texte		Cépaduès Éditions (Toulouse)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2018	texte imprimé ; printed text ; text	Ill. ; 21 cm	http://catalogue.bnf.fr/ark:/12148/cb455966705
ark:/12148/cb37126761h		Les archives de l'Ouest-État / Pierre Laederich, Bruno Moret				fre ; français			Laederich, Pierre (1951-....). Auteur du texte ; Moret, Bruno (1959-....). Auteur du texte		Éd. Publitrains (Betschdorf)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2000	texte imprimé ; printed text ; text	30 cm	http://catalogue.bnf.fr/ark:/12148/cb37126761h
ark:/12148/cb37691281v		Paroles d'amour		Collection : Le trois demi		fre ; français					Éd. Biotop (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2001	texte imprimé ; printed text ; text	Non paginé [80] p. : couv. ill. en coul. ; 4 cm	http://catalogue.bnf.fr/ark:/12148/cb37691281v ; ISBN 2844002439
ark:/12148/cb34346531c		Analyse : cours et exercices corrigés		Collection : Mathématiques pour DEUG		fre ; français					Ellipses (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1996	texte imprimé ; printed text ; text	26 cm	http://catalogue.bnf.fr/ark:/12148/cb34346531c
ark:/12148/cb343096813		L'Oiseau des profondeurs / Boris Schreiber				fre ; français			Schreiber, Boris (1923-2008). Auteur du texte		Luneau Ascot (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1987	texte imprimé ; printed text ; text	Couv. ill. ; 21 cm	http://catalogue.bnf.fr/ark:/12148/cb343096813
ark:/12148/cb34336361j		Lire et écrire : des apprentissages culturels / Bernard Devanne		Collection : Pratique pédagogique		fre ; français			Devanne, Bernard. Auteur du texte		A. Colin (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1992	texte imprimé ; printed text ; text	21 cm	http://catalogue.bnf.fr/ark:/12148/cb34336361j
ark:/12148/cb442477313		Série Niort / Sébastien Acker		Collection : Le geste noir		fre ; français			Acker, Sébastien. Auteur du texte		Geste éd. (La Crèche)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2014	texte imprimé ; printed text ; text	21 cm	http://catalogue.bnf.fr/ark:/12148/cb442477313
ark:/12148/cb36134032k		Électricité / Guy Hubert		Collection : Cahier technique automobile		fre ; français			Hubert, Guy (1958-....). Auteur du texte		ETAI (Boulogne-Billancourt)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1997	texte imprimé ; printed text ; text	Ill., couv. ill. ; 30 cm	http://catalogue.bnf.fr/ark:/12148/cb36134032k
ark:/12148/cb39285012t		Mathématiques de l'assurance non-vie / Michel Denuit, Arthur Charpentier		Collection : Économie et statistiques avancées		fre ; français					Economica (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2004	texte imprimé ; printed text ; text	graph. ; 24 cm	http://catalogue.bnf.fr/ark:/12148/cb39285012t
ark:/12148/cb34338472z		Le calcul mental / Claire Lethielleux		Collection : Pratique pédagogique		fre ; français			Lethielleux, Claire. Auteur du texte		A. Colin (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1992	texte imprimé ; printed text ; text	21 cm	http://catalogue.bnf.fr/ark:/12148/cb34338472z
ark:/12148/cb34298422g		Hortense 14-18 / Cecil Saint-Laurent				fre ; français			Saint-Laurent, Cécil (1919-2000). Auteur du texte		Gallimard (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1981	texte imprimé ; printed text ; text	Couv. ill. en coul. ; 18 cm	http://catalogue.bnf.fr/ark:/12148/cb34298422g
ark:/12148/cb34346282f		Guide des grandes séries télé / Mark Dawidziak		Collection : Travaux		fre ; français			Dawidziak, Mark (1956-....). Auteur du texte		Encrage (Amiens)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1991	texte imprimé ; printed text ; text	Couv. ill. en coul. ; 24 cm	http://catalogue.bnf.fr/ark:/12148/cb34346282f
ark:/12148/cb34337322w		Les contes de l'Algérie heureuse / Jean-Philippe Brette				fre ; français			Brette, Jean-Philippe (1957-....). Auteur du texte		Éd. l'Harmattan (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1992	texte imprimé ; printed text ; text	Ill., couv. ill. ; 22 cm	http://catalogue.bnf.fr/ark:/12148/cb34337322w
ark:/12148/cb37136232r		Code Vagnon de la mer (33e éd.) Henri Vagnon				fre ; français			Vagnon, Henri (1924-....). Auteur du texte		les Éd. du Plaisancier (Miribel)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2001	texte imprimé ; printed text ; text	Ill. en coul., couv. ill. en coul. ; 21 cm	http://catalogue.bnf.fr/ark:/12148/cb37136232r
ark:/12148/cb40963762g		Anthropo-illogiques / Bruno Étienne				fre ; français			Étienne, Bruno (1937-2009). Auteur du texte		Dervy (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2006	texte imprimé ; printed text ; text	22 cm	http://catalogue.bnf.fr/ark:/12148/cb40963762g
ark:/12148/cb40073502q		Dilbert / Scott Adams				fre ; français			Adams, Scott (1957-....). Auteur du texte		Dargaud (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2005	texte imprimé ; printed text ; text	32 cm	http://catalogue.bnf.fr/ark:/12148/cb40073502q
ark:/12148/cb400760429		Reine de Palmyre : roman / Antoine B. Daniel				fre ; français			Daniel, Antoine B.. Auteur du texte		XO éd. (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2005	texte imprimé ; printed text ; text	24 cm	http://catalogue.bnf.fr/ark:/12148/cb400760429
ark:/12148/cb409739220		Droit des contrats, France, Belgique		Collection : Contrats et patrimoine		fre ; français					Larcier (Bruxelles) ; LGDJ (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2005	texte imprimé ; printed text ; text	24 cm	http://catalogue.bnf.fr/ark:/12148/cb409739220
ark:/12148/cb40207132d		Premiers désirs / Bruno Batlo		Collection : Nouvelles érotiques		fre ; français			Batlo, Bruno (1965-....). Auteur du texte		Éd. Why not (Clichy)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2006	texte imprimé ; printed text ; text	15 x 12 cm	http://catalogue.bnf.fr/ark:/12148/cb40207132d
ark:/12148/cb42402592s		Déconstruire les accords de coopération franco-africains / Grégoire Biyogo				fre ; français			Biyogo, Grégoire (1959-....). Auteur du texte		l'Harmattan (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2011	texte imprimé ; printed text ; text	24 cm	http://catalogue.bnf.fr/ark:/12148/cb42402592s
ark:/12148/cb39027003r		Comptes pour petits et grands / Stella Baruk		Collection : Questions d'éducation		fre ; français			Baruk, Stella (1932-....). Auteur du texte		Magnard (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2003	texte imprimé ; printed text ; text	24 cm	http://catalogue.bnf.fr/ark:/12148/cb39027003r
ark:/12148/cb343134532		Le Français au CM2		Collection : Duplifiches		fre ; français					Hachette (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1989	texte imprimé ; printed text ; text	Ill., couv. ill. en coul. ; 28 cm	http://catalogue.bnf.fr/ark:/12148/cb343134532
ark:/12148/cb343128935		Pyrenées Occidentales / Robert Ollivier				fre ; français			Ollivier, Robert (1911-1997). Auteur du texte		Maison de la cartographie et du tourisme (a Pau)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1984	texte imprimé ; printed text ; text	17 cm	http://catalogue.bnf.fr/ark:/12148/cb343128935
ark:/12148/cb343426530		Travaux de synthèse : BTS comptabilité et gestion (Ed. 93-94) T. Cuyaubère,... J. Destours,... E. Disle,... [et al.]				fre ; français					Dunod (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1993	texte imprimé ; printed text ; text	27 cm	http://catalogue.bnf.fr/ark:/12148/cb343426530
ark:/12148/cb343476238		Spooksville / Christopher Pike		Collection : Kid pocket		fre ; français			Pike, Christopher (1954-....). Auteur du texte		Pocket (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1997	texte imprimé ; printed text ; text	Couv. ill. en coul. ; 18 cm	http://catalogue.bnf.fr/ark:/12148/cb343476238
ark:/12148/cb37583043v		Histoires et contes du loup-phoque / Robert Gélis				fre ; français			Gélis, Robert (1938-....). Auteur du texte		Pleine vie, le temps d'écrire [puis] (Paris) ; les Dossiers d'Aquitaine (Bordeaux)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2000	texte imprimé ; printed text ; text	20 cm	http://catalogue.bnf.fr/ark:/12148/cb37583043v
ark:/12148/cb36946673w		Pit Biribi : guide des univers intérieurs / scénario, Hervé Poudat ; dessins, Max Defer...				fre ; français			Poudat, Hervé (1952-....). Auteur du texte	Linde, Helle. Illustrateur	Soleil (Toulon)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1999	texte imprimé ; printed text ; text	33 cm	http://catalogue.bnf.fr/ark:/12148/cb36946673w
ark:/12148/cb423350034		UE1 Atomes, biomolécules, génome, bioénergétique, métabolisme		Collection : Carnets de révision PAES		fre ; français					Maloine (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2010	texte imprimé ; printed text ; text	24 cm	http://catalogue.bnf.fr/ark:/12148/cb423350034
ark:/12148/cb421478130		L'encyclopédie du légendaire / Édouard Brasey		Collection : Fantasy		fre ; français			Brasey, Édouard (1954-....). Auteur du texte		le Pré aux Clercs (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2008	texte imprimé ; printed text ; text	29 cm	http://catalogue.bnf.fr/ark:/12148/cb421478130
ark:/12148/cb42562863f		Histoire politique et syndicale en Mélanésie : les outils de la recherche / Emeric Tellier				fre ; français			Tellier, Emeric (1984-....). Auteur du texte		Tellier (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2011	texte imprimé ; printed text ; text	28 cm	http://catalogue.bnf.fr/ark:/12148/cb42562863f
ark:/12148/cb36946104p		Professeur Bell / scénario et dessin, Joann Sfar...				fre ; français			Sfar, Joann (1971-....). Auteur du texte		Delcourt (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1999	texte imprimé ; printed text ; text	30 cm	http://catalogue.bnf.fr/ark:/12148/cb36946104p
ark:/12148/cb34334294r		Algodystrophies / P. Doury				fre ; français			Doury, Paul (1927-2017). Auteur du texte		SPECIA (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1990	texte imprimé ; printed text ; text	27 cm	http://catalogue.bnf.fr/ark:/12148/cb34334294r
ark:/12148/cb34333784k		Sonars et acoustique sous-marine / Jean-Paul Marage,...				fre ; français			Marage, Jean-Paul. Auteur du texte		Thomson Sintra activités sous-marines (Valbonne)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1990	texte imprimé ; printed text ; text	vol. : ill. ; 21 cm	http://catalogue.bnf.fr/ark:/12148/cb34333784k
ark:/12148/cb34298354t		Bibliographie générale / Claude Boisse,...				fre ; français			Boisse, Claude (1928-2000). Auteur du texte		C. Boisse (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1979	texte imprimé ; printed text ; text	30 cm	http://catalogue.bnf.fr/ark:/12148/cb34298354t
ark:/12148/cb343145240		Intelectuais angolenses dos séculos XIX e XX / Geraldo Bessa Victor				por ; portugais			Victor, Geraldo Bessa. Auteur du texte		G. Bessa Victor (Lisboa)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1975	texte imprimé ; printed text ; text	21 cm	http://catalogue.bnf.fr/ark:/12148/cb343145240
ark:/12148/cb42149864c		Le Régiment de sapeurs-pompiers de Paris, 1938-1944 / Emmanuel Ranvoisy				fre ; français			Ranvoisy, Emmanuel. Auteur du texte		Mairie de Paris (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2009	texte imprimé ; printed text ; text	Ill., couv. ill. ; 30 cm	http://catalogue.bnf.fr/ark:/12148/cb42149864c
ark:/12148/cb42169584k		Lutter contre la pauvreté / Esther Duflo		Collection : La République des idées		fre ; français			Duflo, Esther (1972-....). Auteur du texte		Seuil (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2010	texte imprimé ; printed text ; text		http://catalogue.bnf.fr/ark:/12148/cb42169584k
ark:/12148/cb42311304x		Mémento pratique des codes secrets / résumées par le dr Philippe Eveillard				fre ; français			Éveillard, Philippe. Auteur du texte		Éd. scientifiques L & C [pour] Pfizer (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2010	texte imprimé ; printed text ; text	15 cm	http://catalogue.bnf.fr/ark:/12148/cb42311304x
ark:/12148/cb343190851		Bibliographie italo-française : 1948-1958..				fre ; français					Maison du livre italien (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1962	texte imprimé ; printed text ; text	26 cm	http://catalogue.bnf.fr/ark:/12148/cb343190851
ark:/12148/cb34308175j		Le Livre d'or du cyclisme				fre ; français					Solar (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1975-1996	texte imprimé ; printed text ; text	Ill. en noir et en coul., couv. ill. en coul. ; 26 cm	http://catalogue.bnf.fr/ark:/12148/cb34308175j
ark:/12148/cb343362451		Métissages : actes du colloque international de Saint-Denis de La Réunion, 2-7 avril 1990		Collection : Cahiers CRLH-CIRAOI		fre ; français					l'Harmattan (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1992	texte imprimé ; printed text ; text	24 cm	http://catalogue.bnf.fr/ark:/12148/cb343362451
ark:/12148/cb34302065h		Dzieła zebrane (2-gie wyd.) Witold Gombrowicz				pol ; polonais			Gombrowicz, Witold (1904-1969). Auteur du texte		Instytut literacki (Le Mesnil-le-Roi)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1982	texte imprimé ; printed text ; text	22 cm	http://catalogue.bnf.fr/ark:/12148/cb34302065h
ark:/12148/cb369458558		Islam / Henri Stierlin		Collection : Taschen-architecture mondiale		fre ; français			Stierlin, Henri (1928-....). Auteur du texte		Taschen (Köln)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1996	texte imprimé ; printed text ; text	Ill. en noir et en coul., jaquette ill. en coul. ; 31 cm	http://catalogue.bnf.fr/ark:/12148/cb369458558
ark:/12148/cb369459159		La maxi super majeure 5e / Michel Lebel		Collection : Bridge et jeux Michel Lebel		fre ; français			Lebel, Michel (1944-....). Auteur du texte		Éd. du Rocher (Monaco)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1998	texte imprimé ; printed text ; text		http://catalogue.bnf.fr/ark:/12148/cb369459159
ark:/12148/cb41288655g		Les 4 saisons de Mimi Cracra / Agnès Rosenstiehl				fre ; français			Rosenstiehl, Agnès (1941-....). Auteur du texte		Seuil jeunesse (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2008	texte imprimé ; printed text ; text	16 cm	http://catalogue.bnf.fr/ark:/12148/cb41288655g
ark:/12148/cb40989345n		Le roman de Fidom : prince des lutins verts / Sylvanie d'Ailhet				fre ; français			Ailhet, Sylvanie d' (1935-....). Auteur du texte		SCI du Bois galant (La Grande-Motte)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2006	texte imprimé ; printed text ; text	20 cm	http://catalogue.bnf.fr/ark:/12148/cb40989345n
ark:/12148/cb401811851		Le Chevalier de Saint-Clair / Pierre Brochard				fre ; français			Brochard, Pierre (1921-2001). Auteur du texte		Éd. du Triomphe (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2006	texte imprimé ; printed text ; text	Ill. en coul., couv. ill. en coul. ; 30 cm	http://catalogue.bnf.fr/ark:/12148/cb401811851
ark:/12148/cb443962650		Capacité en droit / sous la direction de David Bonnet				fre ; français				Bonnet, David (1972-....). Directeur de publication	Ellipses (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2015	texte imprimé ; printed text ; text	24 cm	http://catalogue.bnf.fr/ark:/12148/cb443962650
ark:/12148/cb365947762		Le parler des Pieds-noirs d'Oran & d'Oranie / Amédée Moréno				fre ; français			Moréno, Amédée. Auteur du texte		les Vents contraires (Aix-en-Provence)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1998	texte imprimé ; printed text ; text	24 cm	http://catalogue.bnf.fr/ark:/12148/cb365947762
ark:/12148/cb34309476z		Histoire de France Hachette				fre ; français					Hachette (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1987	texte imprimé ; printed text ; text	30 cm	http://catalogue.bnf.fr/ark:/12148/cb34309476z ; ISBN 2010133676
ark:/12148/cb37136306g		Histoire de l'Algérie depuis l'indépendance (Nouv. éd.) Benjamin Stora		Collection : Repères		fre ; français			Stora, Benjamin (1950-....). Auteur du texte		Éd. la Découverte (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2001	texte imprimé ; printed text ; text	18 cm	http://catalogue.bnf.fr/ark:/12148/cb37136306g
ark:/12148/cb375826062		Le juste / Paul Ricoeur		Collection : Philosophie		fre ; français			Ricoeur, Paul (1913-2005). Auteur du texte		Éd. Esprit (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1995-2001	texte imprimé ; printed text ; text	21 cm	http://catalogue.bnf.fr/ark:/12148/cb375826062
ark:/12148/cb423758662		Homélies du dimanche / monseigneur Léon Soulier				fre ; français			Soulier, Léon (1924-2016). Auteur du texte		[s.n.]	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2009	texte imprimé ; printed text ; text	21 cm	http://catalogue.bnf.fr/ark:/12148/cb423758662
ark:/12148/cb42306636c		Comment spéculer sur du terrain agricole / Gilles Boulet				fre ; français			Boulet, Gilles (1962-....). Auteur du texte		Éd. Dream team (Margencel)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2010	texte imprimé ; printed text ; text	Couv. ill. en coul. ; 30 cm	http://catalogue.bnf.fr/ark:/12148/cb42306636c
ark:/12148/cb42180676g		L'Évangile des damnés / Alick		Collection : Encres insolites		fre ; français			Alick (1978-....). Auteur du texte		les 2 encres (Cholet)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2010	texte imprimé ; printed text ; text	21 cm	http://catalogue.bnf.fr/ark:/12148/cb42180676g
ark:/12148/cb37135607d		Histoire de la littérature française du XXe siècle				fre ; français					Presses universitaires de Rennes (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2000	texte imprimé ; printed text ; text	Couv. ill. en coul. ; 21 cm	http://catalogue.bnf.fr/ark:/12148/cb37135607d
ark:/12148/cb37127117m		Contribution à l'histoire culturelle d'Alès / Roland Jacques ; préf. d'Alain André				fre ; français			Jacques, Roland (1926-....). Auteur du texte		R. Jacques (Alès)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1999	texte imprimé ; printed text ; text	 : couv. ill. ; 21 cm	http://catalogue.bnf.fr/ark:/12148/cb37127117m
ark:/12148/cb37582867t		Les noms de lieux du Val d'Ajol et du Girmont-Val d'Ajol, Vosges : répertoire alphabétique, essais d'interprétation (2de éd.) Jacques Vaubourg				fre ; français			Vaubourg, Jacques. Auteur du texte		J. Vaubourg (Le Val-d'Ajol)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2000	texte imprimé ; printed text ; text	30 cm	http://catalogue.bnf.fr/ark:/12148/cb37582867t
ark:/12148/cb37582987q		Les fondamentaux du rugby : manuel pour l'éducateur et l'entraîneur / Serge Collinet				fre ; français			Collinet, Serge (1966?-....). Auteur du texte		Amphora (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2000	texte imprimé ; printed text ; text	Ill., couv. ill. en coul. ; 21 cm	http://catalogue.bnf.fr/ark:/12148/cb37582987q
ark:/12148/cb343085373		Romantiques allemands ([Nouv. éd.]) 				fre ; français					Gallimard (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1986	texte imprimé ; printed text ; text	18 cm	http://catalogue.bnf.fr/ark:/12148/cb343085373
ark:/12148/cb34346937j		Chanterelle et Zorki visitent l'Auvergne / Annie Coralli ; ill. de Bruno Delfour				fre ; français			Coralli, Annie (1943-....). Auteur du texte	Delfour, Bruno. Illustrateur	A. Coralli (Luzillat)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1995	texte imprimé ; printed text ; text	30 cm	http://catalogue.bnf.fr/ark:/12148/cb34346937j
ark:/12148/cb388985570		Informatique de gestion		Collection : BTS CGO, Comptabilité de gestion des organisations		fre ; français					Dunod (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2002	texte imprimé ; printed text ; text	24 cm	http://catalogue.bnf.fr/ark:/12148/cb388985570
ark:/12148/cb34347467b		L'imaginaire orléanais / Christian Chenault				fre ; français			Chenault, Christian (1953-....). Auteur du texte		les Éd. Page à page (Orléans)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1997	texte imprimé ; printed text ; text	27 cm	http://catalogue.bnf.fr/ark:/12148/cb34347467b
ark:/12148/cb34333537h		Le postillon / Joëlle Savey				fre ; français			Savey, Joëlle (1948-....). Auteur du texte		Glénat (Grenoble)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1990	texte imprimé ; printed text ; text	Ill. en coul., couv. ill. en coul. ; 30 cm	http://catalogue.bnf.fr/ark:/12148/cb34333537h
ark:/12148/cb37583147h		Secrétariat : communication, organisation, gestion des dossiers fonctionnels		Collection : Bac pro transversal		fre ; français					Nathan technique (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2001	texte imprimé ; printed text ; text	30 cm	http://catalogue.bnf.fr/ark:/12148/cb37583147h
ark:/12148/cb371360179		États provisoires du poème				fre ; français					Cheyne (Le Chambon-sur-Lignon) ; Comédie de Reims (Reims)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1999	texte imprimé ; printed text ; text	22 cm	http://catalogue.bnf.fr/ark:/12148/cb371360179
ark:/12148/cb37012037c		Advanced dungeons & dragons, des mondes d'aventure : livre de règles / Skip Williams				fre ; français			Williams, Skip. Auteur du texte		Jeux Descartes (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1998	texte imprimé ; printed text ; text	29 cm	http://catalogue.bnf.fr/ark:/12148/cb37012037c
ark:/12148/cb44331207c		Trente années d'affaires criminelles en Auvergne, 1980-2010 / Yves Le Faou		Collection : Collection Auvergne sanglante		fre ; français			Le Faou, Yves. Auteur du texte		Revoir éditions (Mirefleurs)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2012	texte imprimé ; printed text ; text	Ill. ; 21 cm	http://catalogue.bnf.fr/ark:/12148/cb44331207c
ark:/12148/cb342996588		Les années sans suite... / Roger Pannequin				fre ; français			Pannequin, Roger (1920-2001). Auteur du texte		le Sagittaire (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1976-1977	texte imprimé ; printed text ; text	2 vol. ; 25 cm	http://catalogue.bnf.fr/ark:/12148/cb342996588
ark:/12148/cb37135398q		Les médiateurs du livre / Noë Richter				fre ; français			Richter, Noë (1922-2017). Auteur du texte		Société d'histoire de la lecture (Bernay)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1999	texte imprimé ; printed text ; text	1 vol. ; 25 cm	http://catalogue.bnf.fr/ark:/12148/cb37135398q
ark:/12148/cb37583048k		Luxeuil et la Vallée du Breuchin : évolution industrielle du XIIIème siècle à nos jours / Bernard Desgranges				fre ; français			Desgranges, Bernard (1924-....). Auteur du texte		B. Desgranges (Luxeuil)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1998	texte imprimé ; printed text ; text	Ill., couv. ill. en coul. ; 22 cm	http://catalogue.bnf.fr/ark:/12148/cb37583048k
ark:/12148/cb40164338c		Les enfants de la Vouivre ([Éd. en gros caractères]) Michel Dodane				fre ; français			Dodane, Michel. Auteur du texte		Éd. VDB (La Roque-sur-Pernes)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2005	texte imprimé ; printed text ; text	23 cm	http://catalogue.bnf.fr/ark:/12148/cb40164338c
ark:/12148/cb45807578j		Oeuvres complètes / Albert Camus				fre ; français			Camus, Albert (1913-1960). Auteur du texte		A. Sauret (Monaco)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1962	texte imprimé ; printed text ; text	28 cm	http://catalogue.bnf.fr/ark:/12148/cb45807578j
ark:/12148/cb34334309z		Tout petits livres / Jan Pieńkowski				fre ; français			Pieńkowski, Jan (1936-2022). Auteur du texte		Gallimard (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1991	texte imprimé ; printed text ; text	[20] p. : ill. en coul., couv. ill. en coul. ; 9 cm	http://catalogue.bnf.fr/ark:/12148/cb34334309z
ark:/12148/cb34346959v		Histoire de l'Égypte pharaonique / Claire Lalouette,...		Collection : Champs		fre ; français			Lalouette, Claire (1921-2010). Auteur du texte		Fayard (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1995	texte imprimé ; printed text ; text	Couv. ill. en coul. ; 18 cm	http://catalogue.bnf.fr/ark:/12148/cb34346959v
ark:/12148/cb343427193		Le nombre d'or, clé de la vie universelle / [Jean-Christophe Valance]				fre ; français			Valance, Jean-Christophe. Auteur du texte		J.-C. Valance (Labessière-Candeil)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1994	texte imprimé ; printed text ; text	30 cm	http://catalogue.bnf.fr/ark:/12148/cb343427193
ark:/12148/cb37012239m		Optimisez vos ventes		Collection : Les essentiels du pharmacien		fre ; français					Éd. Groupe Liaisons (Rueil-Malmaison)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1999	texte imprimé ; printed text ; text	21 cm	http://catalogue.bnf.fr/ark:/12148/cb37012239m
ark:/12148/cb36594519p		De Gaulle / Max Gallo				fre ; français			Gallo, Max (1932-2017). Auteur du texte		le Grand livre du mois (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1998	texte imprimé ; printed text ; text	25 cm	http://catalogue.bnf.fr/ark:/12148/cb36594519p
ark:/12148/cb369468696		Mémé / Riss		Collection : La bibliothèque du dessinateur		fre ; français			Riss (1966-....). Auteur du texte		le Cherche-Midi éd. (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1999	texte imprimé ; printed text ; text	30 cm	http://catalogue.bnf.fr/ark:/12148/cb369468696
