ARK	title	subject	description	source	language	relation	coverage	creator	contributor	publisher	rights	date	type	format	identifier
ark:/12148/cb37583524z		Le nouveau code des marchés publics		Collection : L'essentiel sur		fre ; français					Territorial (Voiron)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2001	texte imprimé ; printed text ; text	21 cm	http://catalogue.bnf.fr/ark:/12148/cb37583524z
ark:/12148/cb37583554w		Bibliothèque lupinienne		Collection : Travaux		fre ; français					Encrage (Amiens)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2001	texte imprimé ; printed text ; text	Ill., couv. ill. en coul. ; 24 cm	http://catalogue.bnf.fr/ark:/12148/cb37583554w
ark:/12148/cb400339845		La théorie interprétative de la traduction		Collection : Cahiers Champollion		fre ; français					Minard (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2005	texte imprimé ; printed text ; text	21 cm	http://catalogue.bnf.fr/ark:/12148/cb400339845
ark:/12148/cb343440545		Code Vagnon de la plongée (3e éd.) 				fre ; français					Ed. du Plaisancier (Caluire)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1993	texte imprimé ; printed text ; text	21 cm	http://catalogue.bnf.fr/ark:/12148/cb343440545
ark:/12148/cb34346706q		Anthologie de la prière		Collection : Collection Traditions		fre ; français					le Fennec éd. (Thionville)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1994	texte imprimé ; printed text ; text	22 cm	http://catalogue.bnf.fr/ark:/12148/cb34346706q
ark:/12148/cb37135836j		Cahiers des greffes / Bernard Filio				fre ; français			Filio, Bernard (1955-....). Auteur du texte		Sofiac (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2000	texte imprimé ; printed text ; text	32 cm	http://catalogue.bnf.fr/ark:/12148/cb37135836j
ark:/12148/cb37582767j		Le réel philosophique / Didier Cailleteau				fre ; français			Cailleteau, Didier. Auteur du texte		Éd. Pleins feux (Nantes)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2001	texte imprimé ; printed text ; text	19 cm	http://catalogue.bnf.fr/ark:/12148/cb37582767j
ark:/12148/cb377209473		La philosophie de Platon		Collection : Ouverture philosophique		fre ; français					l'Harmattan (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2001	texte imprimé ; printed text ; text	22 cm	http://catalogue.bnf.fr/ark:/12148/cb377209473
ark:/12148/cb37720867f		Guide de la fiscalité consulaire : à l'attention des Chambres -régionales- de commerce et d'industrie				fre ; français					Delta info (Basse-Goulaine)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	2001	texte imprimé ; printed text ; text	32 cm	http://catalogue.bnf.fr/ark:/12148/cb37720867f
ark:/12148/cb37012838x		Homélies / Patrick Chauvet				fre ; français			Chauvet, Patrick (1951-....). Auteur du texte		Parole et silence (Saint-Maur)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1999	texte imprimé ; printed text ; text	21 cm	http://catalogue.bnf.fr/ark:/12148/cb37012838x
ark:/12148/cb343141090		Les Incunables de Ganimède / Ganimède				fre ; français			Ganimède (Castres). Auteur du texte		Ganimède (Castres)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1989	texte imprimé ; printed text ; text	20 cm	http://catalogue.bnf.fr/ark:/12148/cb343141090
ark:/12148/cb37127029b		DESCF		Collection : Collection dir. par Marc Bousseyrol		fre ; français					Ellipses (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1999	texte imprimé ; printed text ; text	26 cm	http://catalogue.bnf.fr/ark:/12148/cb37127029b
ark:/12148/cb34347610x		La Campanie antique, des origines à l'éruption du Vésuve				fre ; français					Adosa (Clermont-Ferrand)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1985	texte imprimé ; printed text ; text	Cartes, couv. ill. en coul. ; 21 cm	http://catalogue.bnf.fr/ark:/12148/cb34347610x
ark:/12148/cb343096604		Croisière / Janine Boissard				fre ; français			Boissard, Janine (1932-....). Auteur du texte		Fayard (Paris)	Catalogue en ligne de la Bibliothèque nationale de France ; French National Library online Catalog	1988	texte imprimé ; printed text ; text	24 cm	http://catalogue.bnf.fr/ark:/12148/cb343096604
