Num Not	FRBNF	ARK	ISBN	EAN	Titre	Auteur	Date	Volume-Tome	Editeur
  ARC00006548					 Un témoin de son temps Pierre-François Brieugne  Les souvenirs d'un volontaire nantais de 1792 	luce courville	1961		 s n  
  ARC00006465					 Voyages de Tavernier en Turquie  en Perse et aux Indes 	j breton b	1810		Chez Veuve Lepetit libraire
  ARC00006518					Oeuvres choisies de Joseph de Maistre	joseph maistre de		Tome 4	Bonne Presse
  ARC00006517					Oeuvres choisies de Joseph de Maistre	joseph maistre de		Tome 3	Bonne Presse
  ARC00006516					Oeuvres choisies de Joseph de Maistre	joseph maistre de		Tome 2 : Entretiens VII-XI	Bonne Presse
  ARC00006515					Oeuvres choisies de Joseph de Maistre Avis de l'éditeur  biographie	joseph maistre de		Tome 1 : Entretiens I-VI	Bonne Presse
  ARC00006521					Oeuvres complètes du comte Xavier de Maistre Expédition nocture  Le lépreux de la cité d'Aoste  Voyage autour de ma chambre  Les prionniers du Caucase  La jeune Sibérienne	de maistre xavier	1857		Charpentier libraire-éditeur
  ARC00006511					Oeuvres du comte J  de Maistre ancien ministre plénipotentiaire Considérations sur la France - Essai sur le principe générateur des constitutions politiques	joseph maistre de	1852		J  B  Pélagaud et Cie
  ARC00006514					Oeuvres du comte J  de Maistre ancien ministre plénipotentiaire De l'église Gallicane	joseph maistre de	1853		H  Pélagaud fils et Roblot
  ARC00006512					Oeuvres du comte J  de Maistre ancien ministre plénipotentiaire Délais de la justice divine - Lettres à un gentilhomme Russe	joseph maistre de	1882		H  Pélagaud fils et Roblot
  ARC00006513					Oeuvres du comte J  de Maistre ancien ministre plénipotentiaire Du pape	joseph maistre de	1870		H  Pélagaud fils et Roblot
  ARC00006504					Oeuvres posthumes de compte J  de Maistre Examen de la philosphie de Bacon où l'on traite différentes question de philosophie rationnelle	joseph maistre de	1868	Tome 2.	H  Pélagaud fils et Roblot
  ARC00006503					Oeuvres posthumes de compte J  de Maistre Examen de la philosphie de Bacon où l'on traite différentes question de philosophie rationnelle	joseph maistre de	1868	Tome 1.	H  Pélagaud fils et Roblot
  ARC00006502					Oeuvres posthumes de compte J  de Maistre Les soirées de Saint-Pétersbourg ou entretiens sur le gouvernement temporel de la providence suivies d'un Traité sur les sacrifices	joseph maistre de	1870	Tome 2.	H  Pélagaud fils et Roblot
  ARC00006501					Oeuvres posthumes de compte J  de Maistre Les soirées de Saint-Pétersbourg ou entretiens sur le gouvernement temporel de la providence suivies d'un Traité sur les sacrifices	joseph maistre de	1870	Tome 1.	H  Pélagaud fils et Roblot
  ARC00006693					100 ans de sport à Saint-Nazaire 1860-1960	maxence ponroy	2018	Partie 2/2	
  ARC00006692					100 ans de sport à Saint-Nazaire 1860-1960	maxence ponroy	2018	Partie 1/2	
  ARC00006987					14 lendemain s  18 L'Ardèche dans l'après-guerre	ardeche departementales archives			Imprimerie Alpha
  ARC00006884					1772-1780  François Lyrot  un chef vendéen  et son héritage	kervarec michel	2019		
  ARC00006880					1772-1780  Moines de Vertou  carrières et pommes de terre	kervarec michel	2019		
  ARC00007111					1870  entre mémoires régionales et oubli national Se souvenir de la guerre franco-prussienne	badier garrigues allorant pierre walter jean	2019		Presses universitaires de Rennes
  ARC00006764					1914-1918  Pont-Saint-Martin dans la Guerre	d'herbonne les chemins sur			
  ARC00006348					1914-1918  Sainte-Luce pendant la guerre	bord fleuve association du au	2018		Au bord du fleuve
  ARC00006859					1914-1918 Hommage aux soldats Sautronnais  morts pour la France 	les sautron musee marie-cecile amis du gessant	2019		Mairie de Sautron
  ARC00006337			979-10-699-2689-9		1914-1918 Les Nazairiens dans la Grande Guerre Une vie bouleversée	saint-nazaire histoire	2018		Saint-Nazaire Histoire
  FRBNF456152380000004			978-2-86030-006-3		1917 et après sortir de la guerre   nos grands-parents dans la Grande guerre  exposition  Nîmes  Archives départementales du Gard  29 janvier 2018-21 juin 2019 	departementales rouayroux gard nadine archives	2018		
  ARC00006529					1918    et après   Du pays guérandais à la Cô‌te d'Amour  naissance d'un nouveau paysage	roux charles-le rosenn	2019		
  ARC00006342					1918-2018 Nozay se souvient Leurs histoires    C'est notre Histoire  		2018		
  ARC00006386					1919-1974  un site centenaire Le barrage et le lac après la Grande Guerre		2018		
  ARC00007069					2000 ans d'histoire de la brique à Couëron   et en Loire-Atlantique Histoire des techniques et de l'architecture	coueron			
